PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Father/Husband Name,Gender,Age
Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],Bharti Pardhi,Bharatiya Janta Party,1873653,1382280,73.80%,174512,12.60%,KHIRSAGAR PARDHI,female,56
Betul,29,ST,Madhya Pradesh [2000 Onwards],Durgadas (D. D.) UIKEY,Bharatiya Janta Party,1895331,1396020,73.70%,379761,27.20%,SURATLAL UIKEY,male,60
Bhind,2,SC,Madhya Pradesh [2000 Onwards],Sandhya Ray,Bharatiya Janta Party,1900654,1049007,55.20%,64840,6.20%,SUMAN RAY,female,50
Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Alok Sharma,Bharatiya Janta Party,2339411,1498285,64.10%,501499,33.50%,SHRI GAURISHANKAR SHARMA,male,56
Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Bunty Vivek Sahu,Bharatiya Janta Party,1632190,1304827,79.90%,113618,8.70%,Narendra Sahu,male,45
Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Rahul Singh Lodhi,Bharatiya Janta Party,1925314,1088944,56.60%,406426,37.30%,VIJAY SINGH,male,40
Dewas,21,SC,Madhya Pradesh [2000 Onwards],Mahendra Singh Solanky,Bharatiya Janta Party,1940472,1469104,75.70%,425225,28.90%,SHRI RAMSINGH SOLANKY,male,40
Dhar,25,ST,Madhya Pradesh [2000 Onwards],Savitri Thakur,Bharatiya Janta Party,1953834,1425044,72.90%,218665,15.30%,TUKARAM THAKUR,female,45
Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya M. Scindia,Bharatiya Janta Party,1889551,1373766,72.70%,540929,39.40%,LT. SHRI MADHAVRAO J. SCINDIA,male,53
Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Bharat Singh Kushwah,Bharatiya Janta Party,2154601,1343229,62.30%,70210,5.20%,SHRI HARIMUKH SINGH KUSHWAH,male,53
Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Darshan Singh Choudhary,Bharatiya Janta Party,1855692,1249692,67.30%,431696,34.50%,SHRI NARAYAN SINGH CHOUDHARY,male,48
Indore,26,GEN,Madhya Pradesh [2000 Onwards],Shankar Lalwani,Bharatiya Janta Party,2526803,1561968,61.80%,1175092,75.20%,JAMNADAS LALWANI,male,62
Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Ashish Dubey,Bharatiya Janta Party,1896346,1158545,61.00%,486674,42.00%,LATE SHRI AMBIKESHWAR DUBEY,male,54
Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Vishnu Datt Sharma (V.D.SHARMA),Bharatiya Janta Party,1997483,1140570,57.10%,541229,47.50%,Amar Singh Sharma,male,54
Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Gyaneshwar Patil,Bharatiya Janta Party,2112203,1512542,71.60%,269971,17.80%,Swargiya Natthu Patil,male,55
Khargone,27,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Patel,Bharatiya Janta Party,2046030,1558778,76.20%,135018,8.70%,UMRAV SINGH PATEL,male,49
Mandla,14,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,2101811,1535632,73.10%,103846,6.80%,SHOBHAN SINGH KULASTE,male,64
Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Sudheer Gupta,Bharatiya Janta Party,1898060,1433492,75.50%,500655,34.90%,RAMCHANDRA GUPTA,male,64
Morena,1,GEN,Madhya Pradesh [2000 Onwards],Shivmangal Singh Tomar,Bharatiya Janta Party,2006730,1187331,59.20%,52530,4.40%,LATE SHRI JANAK SINGH,male,64
Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Rodmal Nagar,Bharatiya Janta Party,1875211,1428997,76.20%,146089,10.20%,BAPULAL NAGAR,male,63
Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Anita Nagarsingh Chouhan,Bharatiya Janta Party,2094548,1532643,73.20%,207232,13.50%,NAGAR SINGH CHOUHAN,female,39
Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Janardan Mishra,Bharatiya Janta Party,1852126,918129,49.50%,193374,21.10%,RAMADHAR PRASAD MISHRA,male,67
Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Dr. Lata Wankhede,Bharatiya Janta Party,1745690,1150549,65.90%,471222,41.00%,NANDKISHORE WANKHEDE,female,54
Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1705260,1058972,62.10%,84949,8.00%,KAMALBHAN SINGH,male,61
Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Smt. Himadri Singh,Bharatiya Janta Party,1777185,1152013,64.80%,397340,34.50%,SHRI NARENDRA SINGH MARAVI,female,37
Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Dr. Rajesh Mishra,Bharatiya Janta Party,2028451,1147264,56.60%,206416,18.00%,LATE K.D. MISHRA,male,66
Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Dr. Virendra Kumar,Bharatiya Janta Party,1826585,1098390,60.10%,403312,36.70%,AMAR SINGH,male,70
Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Anil Firojiya,Bharatiya Janta Party,1798704,1328580,73.70%,375860,28.30%,SHRI BHURELAL FIROJIYA,male,52
Vidisha,18,GEN,Madhya Pradesh [2000 Onwards],Shivraj Singh Chouhan,Bharatiya Janta Party,1945404,1455658,74.80%,821408,56.40%,LATE SHRI PREM SINGH CHOUHAN,male,65
