AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Mandrem,1,GEN,North Goa,Jit Vinayak Arolkar,Maharashtrawadi Gomantak,32723,29382,89.80%,715,2.40%,VINAYAK AROLKAR,male,40
Pernem,2,GEN,North Goa,Pravin Prabhakar Arlekar,Bharatiya Janta Party,33191,28840,86.90%,3418,11.90%,PRABHAKAR ARLEKAR,male,47
Bicholim,3,GEN,North Goa,Dr. Chandrakant Shetye,Independent,28226,25545,90.50%,318,1.20%,PUNDALIK SHETYE,male,50
Tivim,4,GEN,North Goa,Nilkanth Ramnath Halarnkar,Bharatiya Janta Party,29126,23727,81.50%,2051,8.60%,,,
Mapusa,5,GEN,North Goa,Joshua Peter De Souza,Bharatiya Janta Party,29288,22842,78.00%,1647,7.20%,,,
Siolim,6,GEN,North Goa,Delilah Michael Lobo,Indian National Congress,29660,24734,83.40%,1727,7.00%,MICHAEL LOBO,female,44
Saligao,7,GEN,North Goa,Kedar Jayprakash Naik,Indian National Congress,27560,22123,80.30%,1899,8.60%,Jayprakash Suryakant Naik,male,43
Calangute,8,GEN,North Goa,Michael Vincent Lobo,Indian National Congress,25631,20417,79.70%,4979,24.40%,Vincent Lobo,male,45
Porvorim,9,GEN,North Goa,Rohan Khaunte,Bharatiya Janta Party,27092,20764,76.60%,7950,38.30%,Ashok Khaunte,male,47
Aldona,10,GEN,North Goa,Carlos Alvares Ferreira,Indian National Congress,28991,22236,76.70%,1823,8.20%,,,
Panaji,11,GEN,North Goa,Atanasio Monserrate,Bharatiya Janta Party,22408,17246,77.00%,716,4.20%,JOSE MARTIN MONSERRATE,male,59
Taleigao,12,GEN,North Goa,Jennifer Monserrate,Bharatiya Janta Party,30022,23014,76.70%,2041,8.90%,JOHN LOBO,female,51
St.Cruz,13,GEN,North Goa,Rodolfo Louis Fernandes,Indian National Congress,29296,22336,76.20%,2464,11.00%,Andre Francisco Xavier Romao Fernandes,,
St. Andre,14,GEN,North Goa,Viresh Mukesh Borkar,Revolutionary Goans Party,21419,16142,75.40%,76,0.50%,Mukesh Dattaram Borkar,male,28
Cumbarjua,15,GEN,North Goa,Rajesh Faldessai,Indian National Congress,26599,21222,79.80%,2827,13.30%,,,
Maem,16,GEN,North Goa,Premendra Vishnu Shet,Bharatiya Janta Party,28911,25156,87.00%,3136,12.50%,VISHNU ANANT SHET,male,50
Sanquelim,17,GEN,North Goa,Dr. Pramod Sawant,Bharatiya Janta Party,27916,25380,90.90%,666,2.60%,Pandurang Sawant,male,48
Poriem,18,GEN,North Goa,Deviya Vishwajit Rane,Bharatiya Janta Party,32960,28703,87.10%,13943,48.60%,VISHWAJIT RANE,female,48
Valpoi,19,GEN,North Goa,Vishwajit Pratapsingh Rane,Bharatiya Janta Party,31950,26559,83.10%,8085,30.40%,PRATAPSINGH RAOJI RANE,male,50
Priol,20,GEN,North Goa,Govind Shepu Gaude,Bharatiya Janta Party,31014,27821,89.70%,213,0.80%,Shepu Gaude,male,50
Ponda,21,GEN,North Goa,Ravi Naik,Bharatiya Janta Party,32157,25509,79.30%,77,0.30%,LATE SITARAM NAIK,male,75
Siroda,22,GEN,North Goa,Subhash Shirodkar,Bharatiya Janta Party,29674,24799,83.60%,2174,8.80%,,,
Marcaim,23,GEN,North Goa,Ramkrishna Alias Sudin Dhavalikar,Maharashtrawadi Gomantak,28272,23349,82.60%,9963,42.70%,,,
Mormugao,24,GEN,South Goa,Sankalp Amonkar,Indian National Congress,20412,16785,82.20%,1941,11.60%,,,
Vasco-Da-Gama,25,GEN,South Goa,Krishna V. Salkar,Bharatiya Janta Party,35552,25262,71.10%,3657,14.50%,,,
Dabolim,26,GEN,South Goa,Mauvin Heliodoro Godinho,Bharatiya Janta Party,24623,18547,75.30%,1570,8.50%,,,
Cortalim,27,GEN,South Goa,Antonio Vas,Independent,30773,23711,77.10%,1178,5.00%,,,
Nuvem,28,GEN,South Goa,Aleixo Sequeira,Indian National Congress,28425,21636,76.10%,4397,20.30%,,,
Curtorim,29,GEN,South Goa,Aleixo Reginaldo Lourenco,Independent,29848,22101,74.00%,5055,22.90%,,,
Fatorda,30,GEN,South Goa,Vijai Sardesai,Goa Forward Party,30839,23896,77.50%,1527,6.40%,,,
Margao,31,GEN,South Goa,Digambar Kamat,Indian National Congress,29505,22372,75.80%,7794,34.80%,,,
Benaulim,32,GEN,South Goa,Venzy Viegas,Aam Aadmi Party,28959,20953,72.40%,1271,6.10%,Willy Viegas,male,44
Navelim,33,GEN,South Goa,Ulhas Tuenkar,Bharatiya Janta Party,28889,21164,73.30%,430,2.00%,,,
Cuncolim,34,GEN,South Goa,Alemao Yuri,Indian National Congress,29522,22917,77.60%,3234,14.10%,,,
Velim,35,GEN,South Goa,Cruz Silva,Aam Aadmi Party,31533,23149,73.40%,169,0.70%,,,
Quepem,36,GEN,South Goa,Altone D'costa,Indian National Congress,33078,28310,85.60%,3601,12.70%,CRUZINHO D'COSTA,male,46
Curchorem,37,GEN,South Goa,Nilesh Cabral,Bharatiya Janta Party,27479,22571,82.10%,672,3.00%,JOAO CABRAL,male,49
Sanvordem,38,GEN,South Goa,Ganesh Gaonkar,Bharatiya Janta Party,29803,26250,88.10%,5190,19.80%,Chandru Gaonkar,male,63
Sanguem,39,GEN,South Goa,Subhash Uttam Phal Dessai,Bharatiya Janta Party,26657,23510,88.20%,1429,6.10%,Uttam Shaba Phal Dessai,male,55
Canacona,40,GEN,South Goa,Ramesh Tawadkar,Bharatiya Janta Party,34241,28836,84.20%,3051,10.60%,Bombo Tawadkar,male,53
