ac no,ac name,type,district,winning candidate,party,total electors,total votes,poll %,margin,margin %,father/husband name,gender,age,UID
1,Yoksam–Tashiding,BL,Gyalshing,Tshering Thendup Bhutia,Sikkim Krantikari Morcha,,8271,60.8,,,TOPGAY BHUTIA,male,59.0,SK2024AC01
2,Yangthang,,Gyalshing,Bhim Hang Limboo,Sikkim Krantikari Morcha,,6621,54.61,,,ASH BIR LIMBOO,male,35.0,SK2024AC02
3,Maneybong–Dentam,,Gyalshing,Sudesh Kumar Subba,Sikkim Krantikari Morcha,,8553,61.16,,,DIL PRASAD SUBBA,male,47.0,SK2024AC03
4,Gyalshing–Barnyak,,Gyalshing,Lok Nath Sharma,Sikkim Krantikari Morcha,,5612,48.1,,,MADHU PD. SHARMA,male,51.0,SK2024AC04
5,Rinchenpong,BL,Soreng,Erung Tenzing Lepcha,Sikkim Krantikari Morcha,,9624,68.91,,,KENCHUK TASHI TSHERING LEPCHA,male,32.0,SK2024AC05
6,Daramdin,BL,Soreng,Mingma Narbu Sherpa,Sikkim Krantikari Morcha,,9404,67.75,,,,,,SK2024AC06
7,Soreng–Chakung,,Soreng,Prem Singh Tamang,Sikkim Krantikari Morcha,,10480,71.18,,,,,,SK2024AC07
8,Salghari–Zoom,SC,Soreng,Madan Cintury,Sikkim Krantikari Morcha,,5678,58.69,,,DHAN BIR CINTURY,male,64.0,SK2024AC08
9,Barfung,BL,Namchi,Rikshal Dorjee Bhutia,Sikkim Krantikari Morcha,,8358,61.86,,,TASHI LENDUP BHUTIA,male,52.0,SK2024AC09
10,Poklok–Kamrang,,Namchi,Bhoj Raj Rai,Sikkim Krantikari Morcha,,8037,54.99,,,Lt. Hasta Ram Rai,male,60.0,SK2024AC10
11,Namchi–Singhithang,,Namchi,Krishna Kumari Rai,Sikkim Krantikari Morcha,,7907,71.6,,,Ran Man Rai,female,47.0,SK2024AC11
12,Melli,,Namchi,Nar Bahadur Pradhan,Sikkim Krantikari Morcha,,7904,57.96,,,LT. LAXMI PRASAD PRADHAN,male,56.0,SK2024AC12
13,Namthang–Rateypani,,Namchi,Sanjeet Kharel,Sikkim Krantikari Morcha,,8949,63.46,,,TILA PD KHAREL,male,47.0,SK2024AC13
14,Temi–Namphing,,Namchi,Bedu Singh Panth,Sikkim Krantikari Morcha,,6759,51.84,,,M.B. PANTH,male,71.0,SK2024AC14
15,Rangang–Yangang,,Namchi,Raj Kumari Thapa,Sikkim Krantikari Morcha,,6514,50.74,,,MON BAHADUR GURUNG,female,43.0,SK2024AC15
16,Tumin–Lingee,BL,Namchi,Samdup Tshering Bhutia,Sikkim Krantikari Morcha,,8265,58.07,,,GYALOO BHUTIA,male,65.0,SK2024AC16
17,Khamdong–Singtam,,Gangtok,Nar Bahadur Dahal,Sikkim Krantikari Morcha,,5882,52.87,,,BAL BHADRA DAHAL,male,58.0,SK2024AC17
18,West Pendam,SC,Pakyong,Lall Bahadur Das,Sikkim Krantikari Morcha,,6237,48.28,,,BUDHI MAN DAS,male,52.0,SK2024AC18
19,Rhenock,,Pakyong,Prem Singh Tamang,Sikkim Krantikari Morcha,,10094,64.54,,,,,,SK2024AC19
20,Chujachen,,Pakyong,Puran Kumar Gurung,Sikkim Krantikari Morcha,,8199,55.66,,,,,,SK2024AC20
21,Gnathang–Machong,BL,Pakyong,Pamin Lepcha,Sikkim Krantikari Morcha,,6676,61.58,,,GYANENDRA KARKI,female,39.0,SK2024AC21
22,Namchaybong,,Pakyong,Raju Basnet,Sikkim Krantikari Morcha,,7195,53.42,,,LALL DAS BASNETT,male,55.0,SK2024AC22
23,Shyari,,Gangtok,Tenzing Norbu Lamtha,Sikkim Democratic Front,,6633,51.84,,,,,,SK2024AC23
24,Martam–Rumtek,BL,Gangtok,Sonam Venchungpa,Sikkim Krantikari Morcha,,8070,54.01,,,,,,SK2024AC24
25,Upper Tadong,,Gangtok,Gay Tshering Dhungel,Sikkim Krantikari Morcha,,6209,68.46,,,,,,SK2024AC25
26,Arithang,,Gangtok,Arun Kumar Upreti,Sikkim Krantikari Morcha,,5356,61.48,,,LT. D.P. UPRETI,male,56.0,SK2024AC26
27,Gangtok,,Gangtok,Delay Namgyal Barfungpa,Sikkim Krantikari Morcha,,4440,57.44,,,SONAM WANGCHEN BARFUNGPA,male,58.0,SK2024AC27
28,Upper Burtuk,,Gangtok,Kala Rai,Sikkim Krantikari Morcha,,6323,50.54,,,,,,SK2024AC28
29,Kabi–Lungchok,BL,Mangan,Thenlay Tshering Bhutia,Sikkim Krantikari Morcha,,5882,54.18,,,LT. SONAM BHUTIA,male,71.0,SK2024AC29
30,Djongu,BL,Mangan,Pintso Namgyal Lepcha,Sikkim Krantikari Morcha,,6402,69.56,,,SONAM LEPCHA,male,49.0,SK2024AC30
31,Lachen–Mangan,BL,Mangan,Samdup Lepcha,Sikkim Krantikari Morcha,,3929,55.37,,,Lt. ANOR LEPCHA,male,59.0,SK2024AC31
32,Sangha,BM,Soreng,Sonam Lama,Sikkim Krantikari Morcha,,1919,60.01,,,CHUNG TSHERING BHUTIA,male,48.0,SK2024AC32
